category,event,id,compumedics,signal,notes
Respiratory,Mixed apnea ,mixedapnea,Mixed Apnea,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,>10 second period containing both obstructive and central components
Respiratory,Apnea,apnea,APNEA,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,>90% reduction in thermistor flow lasting > 10 seconds
Respiratory,Unsure,unsure,Unsure,CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#AIRFLOW#Airflow#NEW AIR#Thermistor#Therm,> 3% decrease in SpO2 with > 50% decrease in flow (AASM alternative definition)
Respiratory,Respiratory effort related arousal ,rera,RERA,Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD#AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres,Period of >10 seconds of increasing respiratory effort leading to arousal
Respiratory,Snoring,snoring,Snore,Snore#SNORE,Snoring
Respiratory,Respiratory paradox ,resppara,Respiratory Paradox,Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres,Out of phase thoracic and abdominal effort
Respiratory,Periodic breathing ,periodbreath,Periodic Breathing,Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD#AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres,>3 cycles of increasing then decreasing breathing amplitude resulting in apnea
Respiratory,Respiratory artifact ,respartifact,Respiratory artifact,Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD#AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres,Respiratory artifact
Arousals,Arousal ,arous,Arousal (),C4#EEG,Arousal (with blank label)
Arousals,Arousal resulting from apnea ,arousapnea,Arousal (Apnea),C4#EEG,Arousal resulting from apnea
Arousals,Arousal resulting from SpO2 desaturation ,aroussp02desat,Arousal (Desat),C4#EEG,Arousal resulting from SpO2 desaturation
Arousals,Arousal resulting from periodic leg movement ,arousplm,,,Arousal resulting from a PLM series
Arousals,Arousal resulting from limb movement ,arouslm,Arousal (Limb),C4#EEG,Arousal resulting from limb movement
Arousals,Arousal resulting from respiratory effort ,arousrespeff,Arousal (Respiratory),C4#EEG,Arousal resulting from respiratory effort
Arousals,Arousal resulting from snoring ,aroussnoring,,,Arousal resulting from snoring
Arousals,Respiratory effort related arousal ,reraarous,,,Arousal resulting from respiratory effort
Arousals,Spontaneous arousal ,spontarous,Arousal (Spontaneous),C4#EEG,Spontaneous arousal
Arousals,ASDA arousal ,asdaarous,Arousal (ASDA),C4#EEG,ASDA Arousal
Arousals,External arousal ,extarous,Arousal (External Arousal),C4#EEG,External Arousal
Arousals,Internal arousal ,intarous,Arousal (Internal Arousal),C4#EEG,Internal Arousal
Electrocardiogram,Bradycardia ,brady,Bradycardia,ECG1#ECG#EKG#ECG L,Heart rate < 40 BPM
Electrocardiogram,Tachycardia ,tachy,Tachycardia,ECG1#ECG#EKG#ECG L,Heart rate > 90 BPM
Electrocardiogram,Asystole ,asystole,Asystole,ECG1#ECG#EKG#ECG L,No heart beat for >3 seconds
Electrocardiogram,Wide complex tachycardia ,wctachy,Wide Complex Tachycardia,ECG1#ECG#EKG#ECG L,> 3 consecutive beats at >100 BPM with a QRS interval > 120 ms
Electrocardiogram,Narrow complex tachycardia ,nctachy,Narrow Complex Tachycardia,ECG1#ECG#EKG#ECG L,> 3 consecutive beats at >100 BPM with a QRS interval < 120 ms
Electrocardiogram,Atrial fibrillation ,afib,Atrial Fibrillation,ECG1#ECG#EKG#ECG L,Irregularly regular rhythm with no P waves and no consistent waveform
Electrocardiogram,Sinus tachycardia ,stach,,,Rhythm > 100 BPM with normal waveforms
Limb Movement,Leg movement ,lm,,,EMG activity lasting 0.5-10 seconds
Limb Movement,Respiratory related leg movement ,resplm,,,Respiratory Related LM
Limb Movement,Periodic leg movement ,plm,,,Series of > 4 LMs at 5-90 second intervals
Limb Movement,Periodic leg movement - left ,plmleft,PLM (Left),LLEG#Leg L#LegL#Leg/L,Series of > 4 left leg LMs at 5-90 second intervals
Limb Movement,Periodic leg movement - right ,plmright,PLM (Right),RLEG#Leg R#LegR#Leg/R#Leg,Series of > 4 right leg LMs at 5-90 second intervals
Limb Movement,Limb movement - left ,lmleft,Limb Movement (Left),LLEG#Leg L#LegL#Leg/L,Left leg EMG activity lasting 0.5-10 seconds
Limb Movement,Limb movement - right ,lmright,Limb Movement (Right),RLEG#Leg R#LegR#Leg/R#Leg,Right leg EMG activity lasting 0.5-10 seconds
Body Position,Body position change to supine ,bodypossup,,,Body position change to supine
Body Position,Body position change to prone ,bodyposprone,,,Body position change to prone 
Body Position,Body position change to left ,bodyposleft,,,Body position change to left 
Body Position,Body position change to right ,bodyposright,,,Body position change to right 
Body Position,Body position change to upright ,bodyposupright,,,Body position change to upright 
Body Position,Body position change to unknown ,bodyposunknown,,,Body position change to unknown 
Measurements,Activity ,activity,,,Ppt movement
Measurements,Distal pH ,distph,Distal pH,,Esophageal pH measured near the bottom of the esophagus 
Measurements,Proximal pH ,proxph,Distal pH artifact,,Esophageal pH measured near the top of the esophagus 
Artifacts,Distal pH artifact ,distphartifact,Proximal pH artifact,,Unreliable distal pH signal
Artifacts,Proximal pH artifact ,proxphartifact,Proximal pH artifact,,Unreliable proximal pH signal
Artifacts,EtCO2 artifact ,etco2artifact,EtCO2 artifact,Cap#EtCO2#ETCO2,Unreliable EtCO2 signal (CO2 measured during expired air)
Artifacts,TcCO2 artifact ,tcco2artifact,TcC02 artifact,,Unreliable TcCO2 pressure signal (CO2 saturation measured at the skin surface)
Artifacts,Blood pressure artifact ,bpartifact,Blood pressure artifact,,Unreliable blood pressure signal
Artifacts,Body temperature artifact ,bodtempartifact,Body temperature artifact,,Unreliable body temperature signal
Artifacts,Reserved selection ,reservedselc,,,This is an unknown event generated by Embla
Artifacts,Signal artifact ,signartifact,,,Generic signal artifact
